,business_id,state,category,recal_stars
0,AEx2SYEUJmTxVVB18LlCwA,QC,Diners,4.142857142857143
14,VR6GpWIda3SfvPC-lg9H3w,QC,Canadian (New),5.0
17,ACFtxLv8pGrrxMm6EgjreA,QC,Fast Food,3.3846153846153846
30,s2I_Ni76bjJNK9yG60iD-Q,QC,Bakeries,4.2586206896551735
88,9_CGhHMz8698M9-PkVf0CQ,ON,Thai,4.375
96,5r6-G9C4YLbC7Ziz57l3rQ,ON,Fast Food,3.3953488372093017
139,XWTPNfskXoUL-Lf32wSk0Q,ON,Breakfast & Brunch,3.571428571428572
146,PFPUMF38-lraKzLcTiz5gQ,ON,American (Traditional),2.6666666666666665
149,oWTn2IzrprsRkPfULtjZtQ,ON,Burgers,3.8474576271186436
208,zgQHtqX0gqMw1nlBZl2VnQ,ON,American (New),3.2222222222222223
316,Xy74meQwdTnloAAyRC-4cg,ON,Burgers,3.25
320,hjk3ox7w1akbEuOgTJ03Bw,ON,Vietnamese,2.333333333333333
329,ZnxudK5ExgpfXs4bicS4IA,ON,Chinese,5.0
330,Eox_Qq74oaFZ-YjthpHhBw,ON,Canadian (New),2.888888888888889
339,zxJlg4XCHNoFy78WZPv89w,QC,Breakfast & Brunch,3.5
343,N93EYZy9R0sdlEvubu94ig,ON,Vietnamese,4.213740458015267
474,I8rveLd-dl81u6c8YqAxmw,ON,Japanese,2.2857142857142856
481,a9aW5e731lplWGHUZ02-zQ,ON,Asian Fusion,4.041666666666667
505,vyeQzjZFx6KoL2pJBQ2QFA,ON,Sushi Bars,3.5
511,D2PmpZYRdRnzL7q4Wprf3Q,ON,Cafes,4.666666666666667
514,7Uti5EeAwm3drG14KVrE3Q,ON,Italian,4.2727272727272725
525,BmSLyxm8b86dtzwuT7LqBA,ON,Asian Fusion,4.0
533,TrOgTZ0DfmQxvpTehiNibQ,ON,Mediterranean,3.4230769230769234
559,Uq-GOs9_IqweUsB5MdII9w,ON,Bakeries,4.456521739130435
605,3vs6rARRBm-O99y4bryilw,ON,Japanese,3.5
611,I44P6Pfoey2pArOhhx2RnA,ON,Japanese,3.375
619,zkU-WMio8g6dpRJ2Y2xqvQ,ON,Chinese,3.7142857142857135
626,P-nqq5kOv2wV2mB5To5elQ,ON,Canadian (New),2.933333333333333
641,3RlylOY452bA8rwliPUeUQ,ON,Korean,3.4166666666666665
653,SCklYa_jhihWAcfIn-_chg,ON,French,3.4571428571428573
688,lRwpFFaFr3QQ5fGHkk3eXQ,ON,Sushi Bars,1.7
698,806kkDGaRCJ4lZLRcEf-iw,QC,Vietnamese,3.5454545454545454
709,S5bNE4Pmin8OQUMOFod8bQ,ON,Italian,2.761904761904762
730,xpJEBXTCQh5Ib8BJrjt9Bg,ON,Canadian (New),3.5
742,yuFdJdrnfMp3cfXVwTXjjA,ON,Japanese,3.5
750,rdn0vLw8Ln5_PBwRcE6BZw,ON,Korean,3.2142857142857144
764,dw2ST-AHUbu2xq0QNfngBA,ON,American (New),3.3829787234042548
811,ik9VvawL-BeAqlxTI1leew,ON,Japanese,3.7857142857142856
825,1jNteKQ2JuF6Sk1SI9X23Q,ON,Chinese,2.1111111111111107
834,xNNAfZJkLZlAeS-I7-QwgA,ON,Vietnamese,4.333333333333333
837,sTV4qyjDkY5cLvx2omtLyw,ON,Sandwiches,4.0
840,X29BLACjBhOg_P2USv07dA,ON,Chinese,4.0
841,FjTihEfjgq9dm3IJ7S888Q,ON,Canadian (New),4.125
849,JnKzrXKxY1cThJ0vNk-4pA,ON,Japanese,2.375
857,An-JJle53UMHokU4MwFktg,ON,Chinese,3.8181818181818175
868,ZilzayEdyk70SoI-wruJbg,ON,Chinese,3.695652173913044
891,oqJe5o_4J0xkhvTSTP9UNQ,ON,Japanese,3.4545454545454546
902,yaViddk9vxi-7p8DnjoClw,ON,Sushi Bars,2.7777777777777777
911,TR0-w6VoZDAdvFQiq7P2Ug,ON,Desserts,4.233333333333333
941,4UmjnX46qbhV6-D5W89IOQ,NV,Fast Food,5.0
946,IXXERocY1bqGwRllcy8J2w,WI,Breakfast & Brunch,4.551724137931036
975,JlNeaOymdVbE6_bubqjohg,AZ,Mexican,3.3125
991,0Rni7ocMC_Lg2UH0lDeKMQ,AZ,Pizza,3.111111111111111
1000,uN2oZDJGO078ExbbV_DGmA,ON,Fast Food,2.25
1008,qbQ1qZx6eTy7pOOXMBfQNQ,ON,Breakfast & Brunch,3.071428571428572
1022,XCxxPZ3Lu5mwmIo7IQRf1g,ON,Korean,3.5862068965517233
1051,VTs4f6LnUMHD4ysOezHSUQ,ON,Fast Food,2.8571428571428568
1058,NUHNLaMg7aMesMdAiie73w,ON,Italian,3.5454545454545454
1069,cefRDEK5O3t_iUuwnmL27Q,ON,Breakfast & Brunch,2.9473684210526314
1088,pmOlcFQg9Vs3ONHpVNNXjA,ON,Breakfast & Brunch,3.5
1090,pOEL97ld-FJMKO8Ki8JmYg,ON,Canadian (New),2.8484848484848486
1123,kGOr_D-LNpgZ2M9N8TT4QQ,ON,Breakfast & Brunch,2.636363636363636
1167,M8_C-be43AQsH_sEgLPFPg,ON,Italian,4.0
