states,Cuisine,Rating
QC,Diners,3.722703539150908
ON,Diners,3.3181788790123186
NV,Diners,3.4543317968620504
WI,Diners,2.8594771241830066
AZ,Diners,3.470677484065641
PA,Diners,3.803102413846569
NC,Diners,3.4801259802288502
IL,Diners,2.8740740740740733
OH,Diners,3.62206824037568
SC,Diners,3.6
QC,Canadian (New),3.8827034920624572
ON,Canadian (New),3.469218439463274
NV,Canadian (New),0.0
WI,Canadian (New),0.0
AZ,Canadian (New),0.0
PA,Canadian (New),0.0
NC,Canadian (New),0.0
IL,Canadian (New),0.0
OH,Canadian (New),0.0
SC,Canadian (New),0.0
QC,Fast Food,3.199579831932773
ON,Fast Food,2.8722909886352284
NV,Fast Food,2.779002650460596
WI,Fast Food,2.827329192546584
AZ,Fast Food,2.7364125639385004
PA,Fast Food,2.925417933130699
NC,Fast Food,2.966662684656664
IL,Fast Food,2.44320987654321
OH,Fast Food,2.8703303149062798
SC,Fast Food,2.8609467455621305
QC,Bakeries,4.275320148534433
ON,Bakeries,3.7499613248130665
NV,Bakeries,4.0900841541141055
WI,Bakeries,3.672871572871573
AZ,Bakeries,3.65587358297231
PA,Bakeries,3.8210714285714285
NC,Bakeries,3.8830496453900714
IL,Bakeries,4.294642857142858
OH,Bakeries,4.021678321678322
SC,Bakeries,4.5
QC,Thai,3.4234812662085385
ON,Thai,3.3840203259081543
NV,Thai,3.8342534229537004
WI,Thai,3.4566023262451835
AZ,Thai,3.847101886456504
PA,Thai,3.9456642913857833
NC,Thai,3.882526285744331
IL,Thai,3.5226107226107235
OH,Thai,3.7452098555039735
SC,Thai,0.0
QC,Breakfast & Brunch,3.651405751822457
ON,Breakfast & Brunch,3.4354296163749867
NV,Breakfast & Brunch,3.6009603905305414
WI,Breakfast & Brunch,3.9234913268557783
AZ,Breakfast & Brunch,3.6372247793294967
PA,Breakfast & Brunch,3.5444936315455737
NC,Breakfast & Brunch,3.355149742806237
IL,Breakfast & Brunch,3.3992776057791536
OH,Breakfast & Brunch,3.510771805811913
SC,Breakfast & Brunch,3.75
QC,American (Traditional),3.3396250800129743
ON,American (Traditional),3.0540971994350987
NV,American (Traditional),3.3908429352038523
WI,American (Traditional),3.5383112141702653
AZ,American (Traditional),3.336500886202709
PA,American (Traditional),3.5147206544717906
NC,American (Traditional),3.4523865158856952
IL,American (Traditional),3.265559038662486
OH,American (Traditional),3.3502502487224706
SC,American (Traditional),2.8966610925306577
QC,Burgers,3.3547380269794065
ON,Burgers,3.1943985051264727
NV,Burgers,2.9868605863581768
WI,Burgers,2.8549140815242504
AZ,Burgers,2.9680192440150805
PA,Burgers,2.930001792323621
NC,Burgers,3.021157859212127
IL,Burgers,3.2022222222222214
OH,Burgers,3.000299899940188
SC,Burgers,2.2916666666666665
QC,American (New),3.5027472527472523
ON,American (New),3.3615742141716622
NV,American (New),3.5145569425465064
WI,American (New),3.655047551887488
AZ,American (New),3.5497734609543814
PA,American (New),3.51450931499067
NC,American (New),3.4392303084132565
IL,American (New),2.847619047619048
OH,American (New),3.5532561837264365
SC,American (New),3.060808080808081
QC,Vietnamese,3.5698886970216615
ON,Vietnamese,3.427871378089273
NV,Vietnamese,3.5738156244176578
WI,Vietnamese,3.333713330293358
AZ,Vietnamese,3.9654457285719023
PA,Vietnamese,3.7060525893859215
NC,Vietnamese,4.0152428392779775
IL,Vietnamese,4.5
OH,Vietnamese,3.8813484575292025
SC,Vietnamese,0.0
QC,Chinese,3.415827231984088
ON,Chinese,3.3209420919594
NV,Chinese,3.4414424325673023
WI,Chinese,3.376116762540932
AZ,Chinese,3.376585115581168
PA,Chinese,3.2967474247538626
NC,Chinese,3.4039058820308816
IL,Chinese,3.5499623900673627
OH,Chinese,3.3189643116887706
SC,Chinese,3.4954978354978348
QC,Japanese,3.5783047831956227
ON,Japanese,3.4247849041005756
NV,Japanese,3.7539892160529336
WI,Japanese,3.602741739970841
AZ,Japanese,3.4833584522443504
PA,Japanese,3.4931533462861
NC,Japanese,3.5043717297210253
IL,Japanese,3.4551587301587303
OH,Japanese,3.543874994078373
SC,Japanese,2.8421052631578942
QC,Asian Fusion,3.349343711843712
ON,Asian Fusion,3.3592776161250306
NV,Asian Fusion,3.8023371776103327
WI,Asian Fusion,3.3144456733742453
AZ,Asian Fusion,3.688061947607165
PA,Asian Fusion,3.561771561771562
NC,Asian Fusion,3.737270652748277
IL,Asian Fusion,3.628231292517007
OH,Asian Fusion,3.4949033189033183
SC,Asian Fusion,3.5321428571428566
QC,Sushi Bars,3.670260507303696
ON,Sushi Bars,3.435949959204454
NV,Sushi Bars,3.820574161305496
WI,Sushi Bars,3.539145104682189
AZ,Sushi Bars,3.693384109110781
