,business_id,state,category,recal_stars
0,AEx2SYEUJmTxVVB18LlCwA,QC,Diners,3.875
8,VR6GpWIda3SfvPC-lg9H3w,QC,Canadian (New),4.25
20,ACFtxLv8pGrrxMm6EgjreA,QC,Fast Food,3.8333333333333335
26,s2I_Ni76bjJNK9yG60iD-Q,QC,Bakeries,4.338461538461538
91,9_CGhHMz8698M9-PkVf0CQ,ON,Thai,3.6666666666666665
112,5r6-G9C4YLbC7Ziz57l3rQ,ON,Fast Food,3.41025641025641
151,XWTPNfskXoUL-Lf32wSk0Q,ON,Breakfast & Brunch,3.0625
167,PFPUMF38-lraKzLcTiz5gQ,ON,American (Traditional),3.5
177,oWTn2IzrprsRkPfULtjZtQ,ON,Burgers,3.82089552238806
244,zgQHtqX0gqMw1nlBZl2VnQ,ON,American (New),3.0639999999999996
369,Xy74meQwdTnloAAyRC-4cg,ON,Burgers,3.2857142857142856
376,hjk3ox7w1akbEuOgTJ03Bw,ON,Vietnamese,2.875
384,ZnxudK5ExgpfXs4bicS4IA,ON,Chinese,3.75
388,Eox_Qq74oaFZ-YjthpHhBw,ON,Canadian (New),3.875
396,zxJlg4XCHNoFy78WZPv89w,QC,Breakfast & Brunch,2.25
400,N93EYZy9R0sdlEvubu94ig,ON,Vietnamese,4.288135593220339
518,I8rveLd-dl81u6c8YqAxmw,ON,Japanese,1.6666666666666667
527,a9aW5e731lplWGHUZ02-zQ,ON,Asian Fusion,3.8
547,vyeQzjZFx6KoL2pJBQ2QFA,ON,Sushi Bars,3.8
552,D2PmpZYRdRnzL7q4Wprf3Q,ON,Cafes,4.666666666666667
555,7Uti5EeAwm3drG14KVrE3Q,ON,Italian,3.7777777777777777
564,BmSLyxm8b86dtzwuT7LqBA,ON,Asian Fusion,4.222222222222221
573,TrOgTZ0DfmQxvpTehiNibQ,ON,Mediterranean,3.025
613,Uq-GOs9_IqweUsB5MdII9w,ON,Bakeries,4.071428571428571
655,3vs6rARRBm-O99y4bryilw,ON,Japanese,4.125
663,I44P6Pfoey2pArOhhx2RnA,ON,Japanese,4.0
665,zkU-WMio8g6dpRJ2Y2xqvQ,ON,Chinese,3.692307692307693
678,P-nqq5kOv2wV2mB5To5elQ,ON,Canadian (New),2.8
708,3RlylOY452bA8rwliPUeUQ,ON,Korean,3.0
718,SCklYa_jhihWAcfIn-_chg,ON,French,3.1724137931034484
776,lRwpFFaFr3QQ5fGHkk3eXQ,ON,Sushi Bars,1.1428571428571428
790,806kkDGaRCJ4lZLRcEf-iw,QC,Vietnamese,3.4615384615384617
803,S5bNE4Pmin8OQUMOFod8bQ,ON,Italian,3.0416666666666665
827,xpJEBXTCQh5Ib8BJrjt9Bg,ON,Canadian (New),3.111111111111111
845,yuFdJdrnfMp3cfXVwTXjjA,ON,Japanese,3.2222222222222223
854,rdn0vLw8Ln5_PBwRcE6BZw,ON,Korean,2.888888888888889
863,dw2ST-AHUbu2xq0QNfngBA,ON,American (New),3.6296296296296298
890,ik9VvawL-BeAqlxTI1leew,ON,Japanese,3.3125
906,1jNteKQ2JuF6Sk1SI9X23Q,ON,Chinese,3.2857142857142856
920,xNNAfZJkLZlAeS-I7-QwgA,ON,Vietnamese,4.333333333333333
923,X29BLACjBhOg_P2USv07dA,ON,Chinese,4.0
924,FjTihEfjgq9dm3IJ7S888Q,ON,Canadian (New),4.333333333333333
942,JnKzrXKxY1cThJ0vNk-4pA,ON,Japanese,2.2666666666666666
957,An-JJle53UMHokU4MwFktg,ON,Chinese,3.3043478260869565
980,ZilzayEdyk70SoI-wruJbg,ON,Chinese,3.8571428571428568
1008,oqJe5o_4J0xkhvTSTP9UNQ,ON,Japanese,4.294117647058823
1025,yaViddk9vxi-7p8DnjoClw,ON,Sushi Bars,3.4166666666666665
1037,TR0-w6VoZDAdvFQiq7P2Ug,ON,Desserts,4.147540983606556
1098,4UmjnX46qbhV6-D5W89IOQ,NV,Fast Food,2.75
1106,IXXERocY1bqGwRllcy8J2w,WI,Breakfast & Brunch,3.901960784313725
1157,JlNeaOymdVbE6_bubqjohg,AZ,Mexican,4.0
1180,0Rni7ocMC_Lg2UH0lDeKMQ,AZ,Pizza,3.5
1194,uN2oZDJGO078ExbbV_DGmA,ON,Fast Food,2.2
1199,qbQ1qZx6eTy7pOOXMBfQNQ,ON,Breakfast & Brunch,2.7142857142857144
1213,XCxxPZ3Lu5mwmIo7IQRf1g,ON,Korean,3.88
1263,VTs4f6LnUMHD4ysOezHSUQ,ON,Fast Food,3.25
1275,NUHNLaMg7aMesMdAiie73w,ON,Italian,3.8333333333333335
1287,cefRDEK5O3t_iUuwnmL27Q,ON,Breakfast & Brunch,3.638888888888889
1323,pmOlcFQg9Vs3ONHpVNNXjA,ON,Breakfast & Brunch,4.0
1327,pOEL97ld-FJMKO8Ki8JmYg,ON,Canadian (New),3.0
1372,ogSBjY4agU0KDQJ2LOAc0g,ON,Fast Food,3.0
1373,kGOr_D-LNpgZ2M9N8TT4QQ,ON,Breakfast & Brunch,3.125
1429,M8_C-be43AQsH_sEgLPFPg,ON,Italian,3.0
1433,9Jc3W0aR9Xf2gcHI0rEXsw,NV,American (Traditional),2.583333333333333
1445,xVEtGucSRLk5pxxN0t4i6g,NV,Steakhouses,3.9090909090909087
1676,6Toez65egZSMV1iohQWGIQ,ON,Mediterranean,4.0
1678,iL2pb5Khi6jV113vOVQCvA,ON,Mexican,3.5294117647058822
1695,bKh66jlEqEKZZFkjWipt8w,ON,Breakfast & Brunch,3.736842105263158
1714,lUstDPzw7aEmnHoR2L_SYw,ON,Cafes,3.0
1715,_vZ7bHaGCjllogiZ7RH17w,ON,Asian Fusion,3.0
1743,vnIdWzIB2W4j9cDcd6tHAQ,ON,Mexican,3.4
1753,R3Cg6XvdBNXXNbEu6M977A,QC,Pizza,3.6
1758,SN0-O-CuIsyZf3LGZVEUAw,ON,Japanese,4.75
1762,2LZGeJy8qByYKB71ML-jcw,NV,American (Traditional),2.3684210526315788
1781,DbTpQB1BSi76naw2aHXouQ,ON,Seafood,2.6
1786,hZuRyS8IXXuEQkUCas9O1Q,ON,Pizza,4.333333333333333
1789,lFPNibSaYC3Vq4PCGaps_w,ON,Breakfast & Brunch,4.6
1794,qOuoI7hvzBAzF1Y43J7yKQ,ON,Canadian (New),3.5
1798,QePLHlU8MFaU2Sf9dzoLTg,ON,Japanese,3.8461538461538463
1811,QJg8AuqITB4t_iKrLI6tOw,ON,Delis,4.714285714285714
1818,vUqIE5La92aMJrY8kGgwsw,ON,Pizza,4.0
1820,MZ4EEf4VtkeSJURIGgp2AQ,ON,French,3.4
1825,ugDCPgJUCRuNpHSPsMZwkw,ON,Breakfast & Brunch,3.0740740740740735
1852,5N8R7ALESZ30EoAzVJtabw,ON,Burgers,3.75
1880,uF86ZhygpBEGr3CudNemYA,ON,American (New),3.2452830188679247
1933,4KHo1LnkM69RtWTDBdG16g,ON,Desserts,2.571428571428572
1947,RWYQMss0RzbtDGGwRI3iaQ,ON,Mexican,2.2
1952,nvbfWYxTNq5XgJkcAPcXNQ,ON,Thai,3.75
1956,Vg4N2DsGrzzoam9jS1L3Wg,ON,Burgers,3.5416666666666665
1980,RkekriZhaIZ7nSJBVept6Q,ON,American (Traditional),4.111111111111111
1998,Ze4VPogvcD7inc3QuvY_yg,ON,Breakfast & Brunch,2.6842105263157894
2017,TzpqNdtAZHXuIKf2xS0o2A,NV,Mexican,2.0476190476190474
2038,kj4xzhQX55ajTFe9DG0YLw,ON,Bakeries,4.0
2039,D-lzSVYyaobiguo7tfSzWw,ON,Fast Food,3.6666666666666665
2048,OIdOJaNS8M624F58XGV3PQ,ON,Pizza,4.075
2088,4jg8f82iP4lpjqZcf662HA,ON,Italian,2.333333333333333
2091,x3QeZrO_zEzuYzkj2YqBAQ,ON,Italian,3.5
2093,wjW6YN9s-iDq7l9PcUsPZw,PA,American (Traditional),4.277777777777779
2111,RhV7sraRUB3km-gF-tmDow,NV,Fast Food,2.5384615384615383
2124,tJzf6H1dkuUbL-t8bzL3dw,NV,Steakhouses,4.4375
2140,FtaTjyMUIY457tPJahjg1A,NV,American (New),2.625
2172,i8hkzA5eiUXgbPjN8vK3rQ,NV,Mexican,3.15
2192,yLiaMaJFq03JxXPk4puloQ,NV,Fast Food,2.75
2196,ZibmYdOPKLlqDM9oR6xzOA,NV,Asian Fusion,3.625806451612904
2351,7_F6dA9xh2lydTtr1LCtIQ,NV,Burgers,2.6
2356,Trbt0Ex85yvwT8DHoEFCvg,NV,American (New),3.118279569892473
2449,xw6G0T2VQZAtta6RcZoAOQ,NV,Mexican,2.5
2495,T8-8C1C7QwxzZcMGK_8H4A,NV,American (Traditional),3.5
2531,QhMhM3Mhokv6V-H0MRuYTg,NV,Fast Food,2.0
2537,kfo1hXvNtGGThfrZGaWtVw,NV,Mexican,3.1428571428571432
2544,XdhJ7PjfMjBmZwvKikWlkA,NV,Pizza,2.333333333333333
2553,q3dJQtwZQrrurNT-1bNKgQ,NV,Italian,4.0919540229885065
2727,xoGPeHR2RPnJW470-aYBUQ,NV,American (Traditional),2.9259259259259265
2754,RqpL5Y50F9exjyHfpTzp3w,NV,Breakfast & Brunch,2.6666666666666665
2769,ngs16C2M_uTq2zXamltHVw,NV,Barbeque,3.9655172413793114
2798,So132GP_uy3XbGs0KNyzyw,NV,Pizza,4.158333333333333
2918,cZBCVzd4lg_jx8IiFz-Iag,NV,Burgers,2.2857142857142856
2925,TDTASGFy_aGp6vy0i23mDA,NV,Fast Food,3.8333333333333335
2931,vGAJwqvfJLoeHdaM-8eRng,NV,Tex-Mex,2.3888888888888893
2967,qsJkjQoM3Hdg6Gtqp2S9_w,NV,Thai,3.59375
3063,Hz-OXis4Hk9l187LPBo_8g,NV,Sandwiches,2.1666666666666665
3069,h_-KUSA612pFEIGC_dCsKQ,NV,Mexican,2.833333333333333
3075,-P8dGzSVhJi-5oZ-8U2y0w,NV,Diners,2.083333333333333
3087,yz2EimDE7bBvq6b4mDe_zg,NV,Breakfast & Brunch,3.0
3093,diY31IEunbV8MfDh81FS1A,NV,Burgers,3.555555555555556
3138,yzmvsG3Vo-2_F3_0wHzJdA,NV,Diners,4.361111111111111
3210,T6VKCBhHojQkCWp_IYO24w,NV,Fast Food,1.875
3218,7qFtiPg0gdbk911_mj6LoA,NV,Seafood,4.142857142857143
3225,fcUZ0HlaO1bMW26tzQZVOQ,NV,American (Traditional),2.230769230769231
3238,_R-rjgz4Kwi4f3u0clFeKg,NV,Cafes,2.875
3270,PSRZaGGxXmOmabL2si8pKw,NV,Seafood,3.609756097560976
3311,O9LDS66IUKIBkGz_uFZKWQ,NV,American (Traditional),3.2142857142857144
