states,Cuisine,Rating
QC,Diners,3.5520756536040383
ON,Diners,3.3861997533748336
NV,Diners,3.5337383919540133
WI,Diners,2.621481481481481
AZ,Diners,3.3205194270402933
PA,Diners,3.386443148688046
NC,Diners,3.383904770921454
IL,Diners,2.7222222222222214
OH,Diners,3.68919189506146
SC,Diners,3.916666666666667
QC,Canadian (New),3.689107670001025
ON,Canadian (New),3.4355494167323237
NV,Canadian (New),0.0
WI,Canadian (New),0.0
AZ,Canadian (New),0.0
PA,Canadian (New),0.0
NC,Canadian (New),0.0
IL,Canadian (New),0.0
OH,Canadian (New),0.0
SC,Canadian (New),0.0
QC,Fast Food,3.2821994389791
ON,Fast Food,2.822835234963252
NV,Fast Food,2.779703726371823
WI,Fast Food,3.0182954545454543
AZ,Fast Food,2.7128593103711567
PA,Fast Food,2.7652927239179106
NC,Fast Food,2.8167094617800985
IL,Fast Food,2.2829228243021347
OH,Fast Food,2.676649312226236
SC,Fast Food,2.4962585034013607
QC,Bakeries,4.134293655712031
ON,Bakeries,3.759996949195761
NV,Bakeries,3.8844033815210928
WI,Bakeries,3.81420083184789
AZ,Bakeries,3.687486303557757
PA,Bakeries,4.095119225037259
NC,Bakeries,3.382173382173382
IL,Bakeries,3.2875
OH,Bakeries,3.9016251221896394
SC,Bakeries,0.0
QC,Thai,3.311656034024455
ON,Thai,3.347801286114784
NV,Thai,3.850417949056544
WI,Thai,3.94441391941392
AZ,Thai,3.8664625187732353
PA,Thai,3.739556997440762
NC,Thai,3.9505204360128894
IL,Thai,3.4893436335744035
OH,Thai,3.675708995466029
SC,Thai,0.0
QC,Breakfast & Brunch,3.76772910420504
ON,Breakfast & Brunch,3.5059785637859497
NV,Breakfast & Brunch,3.6342499733892057
WI,Breakfast & Brunch,3.8639388173439904
AZ,Breakfast & Brunch,3.6925972596365897
PA,Breakfast & Brunch,3.741571806240004
NC,Breakfast & Brunch,3.5156493266613453
IL,Breakfast & Brunch,3.5478851540616247
OH,Breakfast & Brunch,3.3992499637758478
