state,category,restaurant_stars
AZ,American (New),3.5124716553287985
AZ,American (New),3.425287356321839
AZ,American (New),4.018766756032171
AZ,American (New),4.274439918533605
AZ,American (New),3.609756097560976
AZ,American (New),4.194968553459121
AZ,American (New),3.733333333333333
AZ,American (New),3.3925233644859816
AZ,American (New),4.088560885608857
AZ,American (New),3.793536804308797
AZ,American (New),4.207991803278689
AZ,American (New),4.234177215189874
AZ,American (New),3.6450511945392483
AZ,American (New),3.6666666666666665
AZ,American (New),3.83288409703504
AZ,American (New),4.009333333333333
AZ,American (New),3.48
AZ,American (New),3.0839694656488548
AZ,American (New),3.0161290322580645
AZ,American (New),3.48
AZ,American (New),2.972972972972973
AZ,American (New),2.962962962962963
AZ,American (New),4.417777777777777
AZ,American (New),3.912087912087912
AZ,American (New),3.3167420814479636
AZ,American (New),3.0588235294117645
AZ,American (New),3.9554794520547945
AZ,American (New),4.049847405900305
AZ,American (New),3.7692307692307687
AZ,American (New),3.9850948509485096
AZ,American (New),3.7095709570957096
AZ,American (New),3.4557377049180333
AZ,American (New),3.6142857142857134
AZ,American (New),3.571428571428572
AZ,American (New),3.6526946107784433
AZ,American (New),3.7708333333333335
AZ,American (New),3.3541666666666665
AZ,American (New),4.047297297297297
AZ,American (New),3.7919708029197077
AZ,American (New),3.139473684210526
AZ,American (New),3.9578947368421047
AZ,American (New),3.8
AZ,American (New),3.674509803921569
AZ,American (New),3.5330188679245285
AZ,American (New),3.807692307692308
AZ,American (New),3.627615062761506
AZ,American (New),2.9285714285714284
AZ,American (New),3.3278688524590163
AZ,American (New),3.054913294797688
AZ,American (New),3.2857142857142856
AZ,American (New),3.9704641350210963
AZ,American (New),3.90625
AZ,American (New),3.490506329113924
AZ,American (New),4.194805194805195
AZ,American (New),3.98326359832636
AZ,American (New),4.049645390070922
AZ,American (New),3.8125
AZ,American (New),3.718367346938776
AZ,American (New),4.009478672985782
AZ,American (New),4.314814814814815
AZ,American (New),4.081553398058253
AZ,American (New),3.5930735930735933
AZ,American (New),3.495833333333333
AZ,American (New),3.8666666666666663
AZ,American (New),3.947368421052632
AZ,American (New),4.5659824046920825
AZ,American (New),4.3419354838709685
AZ,American (New),3.775862068965517
AZ,American (New),3.426332288401254
AZ,American (New),3.686274509803922
AZ,American (New),2.4871794871794872
AZ,American (New),3.49609375
AZ,American (New),3.728606356968215
AZ,American (New),4.355595667870037
AZ,American (New),3.477987421383648
AZ,American (New),3.8947368421052633
AZ,American (New),4.41645885286783
AZ,American (New),4.062953995157385
AZ,American (New),3.5531914893617023
AZ,American (New),3.895765472312704
AZ,American (New),3.997422680412371
AZ,American (New),3.8902953586497886
AZ,American (New),3.9863013698630136
AZ,American (New),3.433333333333333
AZ,American (New),3.865497076023392
AZ,American (New),3.515151515151515
AZ,American (New),4.0740740740740735
AZ,American (New),4.333333333333333
AZ,American (New),4.166666666666667
AZ,American (New),3.192419825072886
AZ,American (New),3.8666666666666663
AZ,American (New),3.595238095238096
AZ,American (New),2.8571428571428568
AZ,American (New),4.697916666666667
AZ,American (New),3.0434782608695654
AZ,American (New),3.375
AZ,American (New),4.185344827586206
AZ,American (New),2.8369565217391304
AZ,American (New),2.8351409978308024
AZ,American (New),4.417142857142856
AZ,American (New),3.993366500829187
AZ,American (New),4.139784946236558
AZ,American (New),3.3206751054852317
AZ,American (New),2.9130434782608696
AZ,American (New),3.4825870646766166
AZ,American (New),3.5375
AZ,American (New),3.616822429906542
AZ,American (New),3.52
AZ,American (New),2.4716981132075477
AZ,American (New),4.315068493150685
AZ,American (New),3.2241379310344827
AZ,American (New),4.2517006802721085
AZ,American (New),4.084507042253522
AZ,American (New),3.9827586206896552
AZ,American (New),2.5581395348837206
AZ,American (New),4.323943661971831
AZ,American (New),3.0434782608695654
AZ,American (New),2.849056603773585
AZ,American (New),4.866666666666666
AZ,American (New),4.384615384615385
AZ,American (New),2.697674418604651
AZ,American (New),3.5428571428571427
AZ,American (New),4.2
AZ,American (New),4.606585788561525
AZ,American (New),3.4793814432989687
AZ,American (New),4.616279069767441
AZ,American (New),2.6106194690265485
AZ,American (New),4.341085271317829
AZ,American (New),3.990853658536585
AZ,American (New),4.163636363636364
AZ,American (New),3.4951923076923075
AZ,American (New),4.153846153846153
AZ,American (New),4.258064516129032
AZ,American (New),4.666666666666667
AZ,American (New),3.75
