,Diners,Canadian (New),Fast Food,Bakeries,Thai,Breakfast & Brunch,American (Traditional),Burgers,American (New),Vietnamese,Chinese,Japanese,Asian Fusion,Cafes,Italian,Mediterranean,Korean,French,Sushi Bars,Sandwiches,Desserts,Mexican,Pizza,Steakhouses,Seafood,Delis,Barbeque,Tex-Mex,Hot Dogs,Chicken Wings,Salad,Vegetarian,Indian,Caribbean,Greek,Latin American,Soup,Middle Eastern,German,states
0,3.4741412198572537,3.753017931088519,3.373134328358209,4.229469753392916,3.4515628815628814,3.8025694320548697,3.2171212121212123,3.3365060734779046,3.4444444444444446,3.753449671748641,3.359793878496886,3.6272921176809665,3.784779057420567,3.9170044023630943,3.7455888082505733,3.8656679600886914,3.6004610177404297,3.8321084134961754,3.6200454033273677,3.5770000667721775,4.216217116217116,3.539165682802046,3.446799042431572,3.455387776536685,3.626447522019268,3.397435897435897,3.711697246681767,3.625,3.7898351648351647,3.0005555555555556,3.3298838053740014,3.917768595041323,3.6813405751336785,3.9715686274509805,3.8621031746031744,4.153968253968254,3.6139455782312924,3.7672600473515807,3.9333333333333336,QC
1,3.507281448768238,3.3950005395268046,2.9303464024624963,3.5970668745572403,3.3489116677779918,3.48339848001613,3.1888507226764418,3.069759315914868,3.247252329272277,3.457322758989478,3.259277468952213,3.4839546580768777,3.247125046824656,3.523365169461273,3.5137959774991403,3.358602452556553,3.498263560088401,3.7562885982330423,3.361308497404892,3.520456489575442,3.4034320804983014,3.2776685500794,3.3305679884287276,3.4896327787944927,3.5531664127404934,3.3130866114561774,3.406144071445726,3.2522999508542987,3.0230462519936205,2.9812304798235845,3.6632120849101977,3.6113944567125307,3.458631153775131,3.5154447564001763,3.2480536393364994,3.969980901230901,3.4671843434343432,3.5057630485670885,4.227083333333333,ON
2,3.3856053648110205,0.0,2.7947583352894747,3.855514908296403,3.8003139016127805,3.5869982879885103,3.357283557691911,3.041299625113755,3.7213815572562843,3.5731142211142104,3.411651094766799,3.7129849243980675,3.780419842480844,3.5848266007256626,3.6100957802302567,3.920263656253476,3.727374346891184,4.2356476097879945,3.786253401755119,3.5134000653710684,3.7588603740208466,3.517425769948551,3.17659926066695,3.7384865419155275,3.6900484908237248,3.4765175671046253,3.4215365976859293,3.1283618254667562,3.4065060380694843,2.8848779330252206,3.6456446491162957,3.756681580920008,3.8803077989503305,3.4310224089635852,3.999731087831355,3.872581983243748,3.3681557333831034,4.09175781701292,3.935817805383022,NV
3,2.7485919098822325,0.0,2.9111120191783804,4.355069355069355,3.9161820818070825,3.6739243491849805,3.615193879264588,3.2082333866382378,3.535034195950118,3.643591582974653,3.081787719361249,3.565131065688875,3.4867037702217765,3.8295833333333333,3.3652776115797893,3.6458491161616164,4.05,3.4904761904761905,3.507504578754579,3.2215740225211804,4.071428571428571,3.5026073954263413,3.2162426853105983,3.399334828398296,3.601865257053004,3.629807692307693,3.43705044955045,2.9610706753563893,4.051971326164875,2.674948735475051,3.5098484848484848,3.4852668845315904,3.8187102081757693,3.8600000000000003,4.1535947712418295,3.625,3.0,3.2222222222222228,0.0,WI
4,3.3883510432433672,0.0,2.7819528548546164,3.5802242334706413,3.8668410449037585,3.601308439882267,3.335732392712006,2.920120679526678,3.6184586098558147,3.7900186866115413,3.3242402875255466,3.4089236054747554,3.6524008454480583,3.837909654004418,3.6594012101104396,3.8488954494197944,3.3650766772669645,3.779240620136365,3.656681953812576,3.4260341544900634,3.759806241496423,3.4405090100821254,3.3259523682545424,3.470872780282676,3.6565545022716,3.5153940868255837,3.535380163644368,3.19761824432877,3.737683039718809,2.8995049218012996,3.7979476137618726,4.043894375186912,3.4873591233821974,3.6159715729349178,3.938072954110789,3.8684788902425287,3.5711920766601484,3.906733463806074,4.144256575415995,AZ
5,3.693364323015486,0.0,2.6582845099762396,3.692544297807456,3.856015278753017,3.7381402300208157,3.484414302166745,3.1038249430121674,3.5124487259136554,3.625178833512167,3.358640042067901,3.460944837129865,3.6038100788100786,4.303844275382737,3.4703316721576405,3.9370999536178104,3.835027877527878,4.0922409188034194,3.4642877316397054,3.6467222981237586,3.557071648158605,3.581054006281845,3.570195733175824,3.4168629489477604,3.5805117274997458,3.9958267609583396,3.60406162464986,2.664144199346405,3.602564102564102,2.728467261904762,3.43321978946979,3.5768002136752135,3.7840128324056894,4.072829131652661,3.807072275550536,4.07305114638448,3.6996031746031752,4.36277183600713,4.231884057971015,PA
6,3.502452356616138,0.0,2.630224709501025,3.865656565656566,3.7275061881196243,3.729419456816756,3.390907369179294,3.0178684328120418,3.3931347577930824,3.9772554850900224,3.1718220051553385,3.5205055029451406,3.8330623303841325,3.6125679875679872,3.6106891828332417,3.684967985529972,3.725801282051282,3.9032870122044088,3.5766643116805503,3.5432994670189792,3.6473405821231912,3.365355224033559,3.1727742427322916,3.367798062797307,3.6841542359281507,3.9468614718614714,3.7931315066723483,3.163118580765639,3.334166666666667,2.8809892774314023,3.66354332488731,4.045486237737641,3.503411958315705,3.546825396825397,3.712528852996689,4.082565789473684,2.77817743834004,4.133943833943834,4.275,NC
7,2.4625,0.0,3.0426666666666664,4.383333333333334,3.4306650865474397,3.490312107247591,3.225129731379731,2.943589743589744,3.5643738977072306,3.8133333333333335,3.4247982052669554,3.5762722609368947,3.7370535714285715,3.8916666666666666,3.5210884353741494,4.0,3.7813481972572887,2.5,2.8833333333333333,3.207286376191749,3.3555555555555556,3.3833930724816477,3.2106171606171605,2.7528571428571427,2.864285714285714,3.8722222222222222,4.021172766627313,2.9633333333333334,2.825,2.5722222222222224,3.6510202760202763,2.25,3.541683135704875,0.0,3.6366666666666667,4.333333333333333,4.0,3.517857142857143,0.0,IL
8,3.4745862445356934,0.0,2.824609026893637,3.5510697032436163,3.7360517524992787,3.5572763348699588,3.2578674660001905,3.0457389033827886,3.629645769841562,3.8046152649093825,3.3654014791508664,3.538051503585274,3.453095571095571,3.4969823232323227,3.492819848646916,3.9336263817881463,3.8633116883116885,4.066820276497696,3.878520238458569,3.3953517539786624,3.7961335468184787,3.4055457980111172,3.4984726038922234,3.524770813599503,3.4266485875977852,3.7247776706310938,3.2577918690740635,3.0077030812324925,3.4966632764825536,3.0760788690476186,3.4641120657664772,4.221196374471699,3.7250354308390023,4.004619565217391,3.7527476097651538,3.9660493827160495,3.6880198135198135,4.121973308554191,4.419642857142858,OH
9,2.75,0.0,2.607142857142857,0.0,0.0,2.5,3.8786868686868687,2.197619047619048,3.58975935828877,0.0,3.8480790043290045,4.25,3.8333333333333335,4.333333333333333,3.6496212121212124,0.0,0.0,0.0,2.95,3.65,0.0,3.2857142857142856,2.689047619047619,0.0,4.0361111111111105,3.5,4.149478021978022,3.583333333333333,0.0,3.274603174603175,3.9558441558441557,0.0,0.0,0.0,4.271428571428572,4.833333333333333,4.5,4.0,5.0,SC
