,state,category,cat_mean,state_mean,state_cat_mean
0,QC,Diners,3.4332695082258007,3.6735600143448477,3.5520756536040383
1,QC,Canadian (New),3.5134751210465813,3.6735600143448477,3.6891076700010252
2,QC,Fast Food,2.769225043996243,3.6735600143448477,3.2821994389790996
3,QC,Bakeries,3.791424783153412,3.6735600143448477,4.134293655712031
4,ON,Thai,3.588396426526555,3.383884812754005,3.347801286114784
5,ON,Fast Food,2.769225043996243,3.383884812754005,2.822835234963252
6,ON,Breakfast & Brunch,3.6182500096744934,3.383884812754005,3.50597856378595
7,ON,American (Traditional),3.3632867157315407,3.383884812754005,3.0544545349462626
8,ON,Burgers,3.027542809193245,3.383884812754005,3.1626927001096603
9,ON,American (New),3.558475144325397,3.383884812754005,3.62059532336641
11,ON,Vietnamese,3.535271816387403,3.383884812754005,3.42886400204702
12,ON,Chinese,3.3268119966495378,3.383884812754005,3.2639610382651996
13,ON,Canadian (New),3.5134751210465813,3.383884812754005,3.4355494167323233
14,QC,Breakfast & Brunch,3.6182500096744934,3.6735600143448477,3.7677291042050403
16,ON,Japanese,3.5415580982585455,3.383884812754005,3.4814531275494263
17,ON,Asian Fusion,3.5595069533088965,3.383884812754005,3.4059149117821996
18,ON,Sushi Bars,3.555781958866428,3.383884812754005,3.35304017262623
19,ON,Cafes,3.685839292095314,3.383884812754005,3.4894307553593014
20,ON,Italian,3.58358595921607,3.383884812754005,3.544848635271564
22,ON,Mediterranean,3.7048276102061446,3.383884812754005,3.446148342165982
23,ON,Bakeries,3.791424783153412,3.383884812754005,3.759996949195761
28,ON,Korean,3.66451953998005,3.383884812754005,3.5658712223398124
29,ON,French,3.8620932695341232,3.383884812754005,3.778179423124064
31,QC,Vietnamese,3.535271816387403,3.6735600143448477,3.484854704682291
40,ON,Sandwiches,3.480266288530236,3.383884812754005,3.4170009322811
48,ON,Desserts,3.7399471117470213,3.383884812754005,3.5790328072694244
49,NV,Fast Food,2.769225043996243,3.4009532928798216,2.779703726371823
50,WI,Breakfast & Brunch,3.6182500096744934,3.470079310723272,3.86393881734399
51,AZ,Mexican,3.4441232655272276,3.4075137312490837,3.4459828200903795
52,AZ,Pizza,3.3721554223961996,3.4075137312490837,3.3318469351192905
63,NV,American (Traditional),3.3632867157315407,3.4009532928798216,3.3535942148556757
64,NV,Steakhouses,3.4555482187875075,3.4009532928798216,3.6900383529377745
66,ON,Mexican,3.4441232655272276,3.383884812754005,3.321577138699124
71,QC,Pizza,3.3721554223961996,3.6735600143448477,3.469358623078861
74,ON,Seafood,3.519460405051234,3.383884812754005,3.4303730137209008
75,ON,Pizza,3.3721554223961996,3.383884812754005,3.3286595908430843
79,ON,Delis,3.657462804148897,3.383884812754005,3.254851684263449
91,NV,Mexican,3.4441232655272276,3.4009532928798216,3.4710457144241142
97,PA,American (Traditional),3.3632867157315407,3.5337373297985306,3.6029169205273575
100,NV,American (New),3.558475144325397,3.4009532928798216,3.6459725628141437
103,NV,Asian Fusion,3.5595069533088965,3.4009532928798216,3.845448627503011
104,NV,Burgers,3.027542809193245,3.4009532928798216,3.0778361507507546
110,NV,Pizza,3.3721554223961996,3.4009532928798216,3.1863517275006816
111,NV,Italian,3.58358595921607,3.4009532928798216,3.53380325303913
113,NV,Breakfast & Brunch,3.6182500096744934,3.4009532928798216,3.6342499733892057
114,NV,Barbeque,3.498063478910123,3.4009532928798216,3.333815312658983
118,NV,Tex-Mex,3.045200522132784,3.4009532928798216,2.876340683714772
119,NV,Thai,3.588396426526555,3.4009532928798216,3.8504179490565438
120,NV,Sandwiches,3.480266288530236,3.4009532928798216,3.3153878028587087
122,NV,Diners,3.4332695082258007,3.4009532928798216,3.533738391954013
127,NV,Seafood,3.519460405051234,3.4009532928798216,3.545722895306397
129,NV,Cafes,3.685839292095314,3.4009532928798216,3.532564704262929
137,NV,Hot Dogs,3.4385187441803997,3.4009532928798216,3.2408346633424174
148,NV,Desserts,3.7399471117470213,3.4009532928798216,3.7871008516935203
152,NV,Mediterranean,3.7048276102061446,3.4009532928798216,3.809220900827804
167,NV,Chicken Wings,2.88723880365006,3.4009532928798216,2.9228093202461642
169,AZ,Seafood,3.519460405051234,3.4075137312490837,3.6534841391833632
171,AZ,Breakfast & Brunch,3.6182500096744934,3.4075137312490837,3.69259725963659
174,AZ,Steakhouses,3.4555482187875075,3.4075137312490837,3.4227658452214142
175,NV,Salad,3.682919940318624,3.4009532928798216,3.704354177972282
179,NV,Vegetarian,3.8844536040689177,3.4009532928798216,3.926862524574105
180,NV,Vietnamese,3.535271816387403,3.4009532928798216,3.532895391714274
196,NV,Japanese,3.5415580982585455,3.4009532928798216,3.6883979120847945
197,NV,Chinese,3.3268119966495378,3.4009532928798216,3.3539120664936517
201,NV,Indian,3.5970722801949186,3.4009532928798216,3.7743537331543475
229,NV,Sushi Bars,3.555781958866428,3.4009532928798216,3.757477914639193
233,AZ,Burgers,3.027542809193245,3.4075137312490837,2.8841829278045488
240,NC,Pizza,3.3721554223961996,3.3677098654758155,3.3357173293546927
242,NV,French,3.8620932695341232,3.4009532928798216,3.9762872393337
250,AZ,American (New),3.558475144325397,3.4075137312490837,3.5678608840651376
253,NV,Delis,3.657462804148897,3.4009532928798216,3.566346682077239
