,Diners,Canadian (New),Fast Food,Bakeries,Thai,Breakfast & Brunch,American (Traditional),Burgers,American (New),Vietnamese,Chinese,Japanese,Asian Fusion,Sushi Bars,Cafes,Italian,Mediterranean,Korean,French,Sandwiches,Desserts,Mexican,Pizza,Steakhouses,Seafood,Delis,Barbeque,Tex-Mex,Hot Dogs,Chicken Wings,Salad,Vegetarian,Indian,Caribbean,Greek,Latin American,Soup,Middle Eastern,German,states
0,3.351362363127069,3.685191759912533,3.206084656084656,4.2318074704629325,3.3943968413978496,3.6353419100977336,3.3293429919137467,3.3667869864176803,4.121527777777778,3.5963399189463017,3.4790755303470915,3.589240342459363,3.6108318636096413,3.607037698485067,3.9715604926474493,3.724317857904326,3.83315238002738,3.891929513900422,3.7457125152297555,3.627585665457257,3.7811707523245985,3.5768604479811374,3.3255623731259325,3.4841804322938312,3.474922059410673,3.217063492063492,3.4557901602024828,3.460071301247772,3.5833333333333335,2.6923076923076925,3.998247783962069,3.9990456513183785,3.5732857342407907,3.9473389355742294,3.470168318523582,4.0403381642512075,4.220346320346319,3.6622845865023588,3.744444444444444,QC
1,3.3686619067359307,3.394867429161577,2.857153545123024,3.778540206909855,3.2160528482731294,3.3923995848852617,3.176898264475474,3.1153593715014565,3.2791419282461143,3.4519239349986277,3.210329606353878,3.437524130589537,3.3659469662102683,3.3383817257260127,3.5101810766384447,3.4501814305146667,3.4551268226464593,3.4516429890960856,3.621423929582589,3.6717672059911513,3.3409341315519807,3.2822999941040547,3.2230794471201976,3.4210096664221954,3.4827439538263283,3.404141865079365,3.5570476286303734,3.1733292785225156,3.0970655806182124,2.8968890892457755,3.5826032307117828,3.490007350870873,3.444763394992955,3.765672856557341,3.254402023291408,3.7685776942355895,3.570999513307205,3.5826498159667124,3.655952380952381,ON
2,3.278276727108743,0.0,2.578232797561961,3.8666818955587683,3.854443761782361,3.579178732076603,3.3136678881344523,2.9911099535783148,3.5714886640173495,3.641382283001408,3.336284354887464,3.633594936729298,3.838810545806974,3.7793465331114144,3.758282586426909,3.467492916829384,3.9377094787651012,4.019106681455142,4.123256207291824,3.331949562178336,3.8082294091866142,3.426275673675268,3.1455767226566205,3.750311279292911,3.6532385612029348,3.5223105958231318,3.5822129145621546,2.9397864427450093,3.4962441720331383,3.0532647321816744,3.660690686645853,3.8708564954817306,3.802230281129909,3.9488636363636367,3.8510291451925807,3.6235202297702296,3.488212336325788,4.2351565962672195,4.184803921568627,NV
3,2.6642450142450143,0.0,2.568912741005764,3.896191553544494,3.76162598085675,3.7240792272179175,3.526856878494299,3.093566569484937,3.446757892597477,3.84538961038961,3.2829905244261446,3.709739367024685,3.4399574667756485,3.5488447695344245,4.076307766307767,3.131684802798634,3.2632729373800804,3.3251282051282054,4.228831168831169,3.1736813718349524,3.616883116883117,3.456395524914043,3.3468514604410635,3.2294915046898405,3.517165142181968,4.057199211045364,3.317162698412698,2.9973511374246664,3.225595238095238,2.512907268170426,3.785275835275835,3.75278194028194,4.053373327940802,3.9482142857142857,3.117857142857143,4.0,2.6666666666666665,2.8874458874458875,0.0,WI
4,3.5036774712374825,0.0,2.6191005983128375,3.516606574365939,3.8580636103966715,3.556025023044604,3.229260857609744,2.845982483671832,3.516607814910323,3.6990148803497904,3.3218913945324777,3.510633130447887,3.6177624177980165,3.561253473280906,3.994749857087834,3.5053720791639567,3.7722071540125888,3.2457121914765596,3.751816483121104,3.489139385602072,3.7218492131673844,3.412167059291713,3.2362638024372017,3.4541393551532904,3.539418272229746,3.583411774463472,3.4578488654434962,3.127423300920179,3.689871002039252,2.74100765916797,3.600070917543023,3.9773783352946768,3.734140398771079,3.954399705975158,3.9159033858521077,3.9765842414644736,3.49051739516782,3.8328663621635135,3.623292393880629,AZ
5,3.5729113096594296,0.0,2.844035293341954,3.912797328119909,3.817784116547657,3.623372713189498,3.4190507073408063,2.9551511037615588,3.45238478842281,3.650261306038922,3.4940236526319737,3.4545805334156725,3.744704570791527,3.6253693242315532,3.8038792906439967,3.400340385045854,3.7625035612535616,3.9057222769490565,3.822714154532336,3.6561890608091017,3.8804706761976466,3.4515826689121427,3.47073803995606,3.330291356335249,3.1219325926730424,3.9441311149270075,3.7698969889759364,2.8202830906118104,3.5558838159769834,3.01780303030303,3.2180984555984558,3.6548577594613394,3.6710851007069496,3.9388888888888887,3.614935064935065,3.971245711004747,3.7796138072453864,4.326033016756998,3.734375,PA
6,3.4227759366578216,0.0,2.467763182997558,4.050136388434261,3.493214155060262,3.451714023194879,3.29516472964771,2.752167625177444,3.445062893265959,3.9494442306942306,3.2580145781129426,3.549454301583539,3.546406388891497,3.543944519651796,3.980790790406175,3.3517595900100976,3.8374583624611422,4.1111990950226245,4.196281240689135,3.478500823398244,3.746179259337154,3.5432295283914144,3.161805495024275,3.3784997206923766,3.599402148572949,3.7303443351520276,3.6052912442593783,2.841232048374905,2.890775401069518,2.87743472557714,3.633656396339404,3.8472118296157922,3.604790249433106,4.1446759259259265,3.715921084772321,3.853509373861624,3.0570183629007155,3.5803920011295842,4.130434782608695,NC
7,2.1607142857142856,0.0,2.76875,3.783333333333333,3.824463118580766,3.6047148338815003,3.0928571428571425,2.4805821371610843,2.504166666666667,3.154761904761904,3.3967593934125375,3.2450148809523807,3.4262345679012345,3.0376344086021505,3.5992063492063493,3.6247171945701355,4.080952380952381,3.5392773892773888,5.0,3.0850393448854647,5.0,3.265202716054989,3.019587430113746,2.4630952380952382,2.767857142857143,3.892857142857143,4.178356626338479,3.0,3.0555555555555554,3.814285714285714,3.6412698412698417,2.4545454545454546,3.0282242063492064,0.0,3.1180952380952376,3.8571428571428568,3.4285714285714284,3.525,0.0,IL
8,3.5260860138995955,0.0,2.7553268052611797,3.6503229574658143,3.775428349766667,3.433861523106249,3.2342659782141276,2.883858858668625,3.538809771743119,3.9704526915579543,3.357654934068013,3.655953090507404,3.734968364968365,3.9104113488850327,4.094809165929855,3.3253200038910693,3.955166680210457,4.189709121288068,4.4818228366615465,3.408174196321991,4.244421750181554,3.445892967854309,3.3597247178415928,3.316575963954682,3.1154579392883486,3.5950570871623504,3.3161139597364087,2.5228632478632482,3.5550891116680585,2.8796282149223327,3.594412928521368,4.112596091762758,3.7588034283646192,4.213533834586467,3.538288959717531,4.233919842066968,3.3473290598290597,4.066476764595493,4.080555555555556,OH
9,3.8571428571428568,0.0,2.5753968253968256,4.333333333333333,0.0,2.75,2.882425444925445,2.6107142857142858,3.1104822737175684,0.0,3.439393939393939,3.4166666666666665,2.9206349206349205,3.7272727272727275,4.0,3.4711091454125507,0.0,0.0,0.0,3.795238095238095,0.0,3.251587301587301,3.266865079365079,0.0,2.466666666666667,2.625,3.7986329290677117,1.5,0.0,2.264957264957265,3.7866666666666666,0.0,0.0,0.0,2.6666666666666665,3.8123433583959896,3.625,5.0,5.0,SC
