,business_id,state,category,recal_stars
0,AEx2SYEUJmTxVVB18LlCwA,QC,Diners,4.090909090909091
11,VR6GpWIda3SfvPC-lg9H3w,QC,Canadian (New),4.571428571428571
18,ACFtxLv8pGrrxMm6EgjreA,QC,Fast Food,3.5
32,s2I_Ni76bjJNK9yG60iD-Q,QC,Bakeries,4.320754716981132
85,9_CGhHMz8698M9-PkVf0CQ,ON,Thai,4.2727272727272725
96,5r6-G9C4YLbC7Ziz57l3rQ,ON,Fast Food,3.129032258064516
127,XWTPNfskXoUL-Lf32wSk0Q,ON,Breakfast & Brunch,3.7142857142857135
134,PFPUMF38-lraKzLcTiz5gQ,ON,American (Traditional),4.5
138,oWTn2IzrprsRkPfULtjZtQ,ON,Burgers,3.6808510638297873
185,zgQHtqX0gqMw1nlBZl2VnQ,ON,American (New),3.0
277,Xy74meQwdTnloAAyRC-4cg,ON,Burgers,3.5
283,hjk3ox7w1akbEuOgTJ03Bw,ON,Vietnamese,3.071428571428572
297,ZnxudK5ExgpfXs4bicS4IA,ON,Chinese,4.0
299,Eox_Qq74oaFZ-YjthpHhBw,ON,Canadian (New),3.2222222222222223
308,zxJlg4XCHNoFy78WZPv89w,QC,Breakfast & Brunch,3.6666666666666665
311,N93EYZy9R0sdlEvubu94ig,ON,Vietnamese,4.145985401459853
448,I8rveLd-dl81u6c8YqAxmw,ON,Japanese,2.5
456,a9aW5e731lplWGHUZ02-zQ,ON,Asian Fusion,4.25
476,D2PmpZYRdRnzL7q4Wprf3Q,ON,Cafes,3.0
478,7Uti5EeAwm3drG14KVrE3Q,ON,Italian,4.090909090909091
489,BmSLyxm8b86dtzwuT7LqBA,ON,Asian Fusion,4.0
502,TrOgTZ0DfmQxvpTehiNibQ,ON,Mediterranean,3.333333333333333
526,Uq-GOs9_IqweUsB5MdII9w,ON,Bakeries,4.448275862068964
555,3vs6rARRBm-O99y4bryilw,ON,Japanese,3.0
559,I44P6Pfoey2pArOhhx2RnA,ON,Japanese,2.4
564,zkU-WMio8g6dpRJ2Y2xqvQ,ON,Chinese,4.142857142857143
571,P-nqq5kOv2wV2mB5To5elQ,ON,Canadian (New),2.055555555555556
589,3RlylOY452bA8rwliPUeUQ,ON,Korean,2.5
601,SCklYa_jhihWAcfIn-_chg,ON,French,3.928571428571429
629,lRwpFFaFr3QQ5fGHkk3eXQ,ON,Sushi Bars,1.5
637,806kkDGaRCJ4lZLRcEf-iw,QC,Vietnamese,3.0
646,S5bNE4Pmin8OQUMOFod8bQ,ON,Italian,3.75
666,xpJEBXTCQh5Ib8BJrjt9Bg,ON,Canadian (New),3.4
676,yuFdJdrnfMp3cfXVwTXjjA,ON,Japanese,3.5
680,rdn0vLw8Ln5_PBwRcE6BZw,ON,Korean,2.5
694,dw2ST-AHUbu2xq0QNfngBA,ON,American (New),3.5263157894736836
732,ik9VvawL-BeAqlxTI1leew,ON,Japanese,4.2
742,1jNteKQ2JuF6Sk1SI9X23Q,ON,Chinese,2.5384615384615383
755,xNNAfZJkLZlAeS-I7-QwgA,ON,Vietnamese,3.6
760,sTV4qyjDkY5cLvx2omtLyw,ON,Sandwiches,4.0
761,FjTihEfjgq9dm3IJ7S888Q,ON,Canadian (New),4.0
768,JnKzrXKxY1cThJ0vNk-4pA,ON,Japanese,2.6
778,An-JJle53UMHokU4MwFktg,ON,Chinese,3.25
794,ZilzayEdyk70SoI-wruJbg,ON,Chinese,3.761904761904762
815,oqJe5o_4J0xkhvTSTP9UNQ,ON,Japanese,2.9
825,yaViddk9vxi-7p8DnjoClw,ON,Sushi Bars,3.1
835,TR0-w6VoZDAdvFQiq7P2Ug,ON,Desserts,4.4444444444444455
871,4UmjnX46qbhV6-D5W89IOQ,NV,Fast Food,2.8
876,IXXERocY1bqGwRllcy8J2w,WI,Breakfast & Brunch,4.214285714285714
890,JlNeaOymdVbE6_bubqjohg,AZ,Mexican,3.5
898,0Rni7ocMC_Lg2UH0lDeKMQ,AZ,Pizza,2.8181818181818183
909,uN2oZDJGO078ExbbV_DGmA,ON,Fast Food,2.6666666666666665
912,qbQ1qZx6eTy7pOOXMBfQNQ,ON,Breakfast & Brunch,2.7333333333333334
927,XCxxPZ3Lu5mwmIo7IQRf1g,ON,Korean,3.966666666666667
957,VTs4f6LnUMHD4ysOezHSUQ,ON,Fast Food,3.2222222222222223
966,NUHNLaMg7aMesMdAiie73w,ON,Italian,3.4
971,cefRDEK5O3t_iUuwnmL27Q,ON,Breakfast & Brunch,3.6428571428571432
985,pmOlcFQg9Vs3ONHpVNNXjA,ON,Breakfast & Brunch,2.5
987,pOEL97ld-FJMKO8Ki8JmYg,ON,Canadian (New),2.833333333333333
1011,ogSBjY4agU0KDQJ2LOAc0g,ON,Fast Food,2.0
1013,kGOr_D-LNpgZ2M9N8TT4QQ,ON,Breakfast & Brunch,3.7
1043,M8_C-be43AQsH_sEgLPFPg,ON,Italian,3.0
1044,9Jc3W0aR9Xf2gcHI0rEXsw,NV,American (Traditional),3.4545454545454546
1055,xVEtGucSRLk5pxxN0t4i6g,NV,Steakhouses,4.098522167487685
1258,6Toez65egZSMV1iohQWGIQ,ON,Mediterranean,3.6666666666666665
1261,iL2pb5Khi6jV113vOVQCvA,ON,Mexican,3.5
1265,bKh66jlEqEKZZFkjWipt8w,ON,Breakfast & Brunch,3.928571428571429
1279,lUstDPzw7aEmnHoR2L_SYw,ON,Cafes,1.8
1284,_vZ7bHaGCjllogiZ7RH17w,ON,Asian Fusion,2.8461538461538463
1297,vnIdWzIB2W4j9cDcd6tHAQ,ON,Mexican,3.625
1305,R3Cg6XvdBNXXNbEu6M977A,QC,Pizza,3.75
