,Diners,Canadian (New),Fast Food,Bakeries,Thai,Breakfast & Brunch,American (Traditional),Burgers,American (New),Vietnamese,Chinese,Japanese,Asian Fusion,Sushi Bars,Cafes,Italian,Mediterranean,Korean,French,Desserts,Mexican,Pizza,Steakhouses,Seafood,Delis,Barbeque,Tex-Mex,Sandwiches,Hot Dogs,Chicken Wings,Salad,Vegetarian,Indian,Caribbean,Greek,Latin American,Soup,Middle Eastern,German,states
0,3.7227035391509076,3.882703492062457,3.199579831932773,4.275320148534434,3.423481266208539,3.651405751822457,3.3396250800129743,3.3547380269794065,3.5027472527472523,3.569888697021661,3.4158272319840877,3.5783047831956227,3.3493437118437117,3.6702605073036962,4.064661006694439,3.755256381760972,3.860707181476112,3.659903695338478,3.884402208615763,3.8474358974358975,3.586709507929603,3.486563595135024,3.4913305770718264,3.9173590495245927,3.4158730158730157,3.640158221408221,3.7433862433862433,3.926572936375338,3.9484848484848487,2.2666666666666666,3.800150829562594,3.807443170658274,3.7070472887546053,4.125,3.699677729677729,3.8649999999999998,3.9846296296296293,3.664213650932401,5.0,QC
1,3.3181788790123186,3.469218439463274,2.872290988635228,3.749961324813067,3.3840203259081543,3.4354296163749867,3.0540971994350987,3.1943985051264727,3.361574214171662,3.427871378089273,3.3209420919594,3.424784904100575,3.3592776161250306,3.435949959204454,3.5520359567187927,3.5103220221116236,3.3902002545384895,3.570131768032051,3.672144116429195,3.630244209509401,3.3502469201005676,3.28922832593482,3.3432462952041266,3.460242271622856,3.5869162087912088,3.4522456707633697,3.575974109378411,3.5067204005431973,3.5869111280875985,2.9947878679585997,3.65423902406661,3.4090534465534463,3.558416748840126,3.663393524073181,3.105479151078965,3.9387228157680103,3.5545491842485792,3.5199814088519723,3.7861111111111105,ON
2,3.4543317968620504,0.0,2.7790026504605962,4.0900841541141055,3.8342534229537,3.6009603905305414,3.390842935203852,2.9868605863581768,3.5145569425465064,3.5738156244176578,3.4414424325673023,3.7539892160529336,3.8023371776103327,3.820574161305496,3.733579070380567,3.483865241214571,3.9173181591536217,3.8466120254649243,4.241705378978383,4.020142240121492,3.5070303764600546,3.1734342242608204,3.6968870486515777,3.6738688790123346,3.5735958123977167,3.5661811000923835,3.143230596190361,3.404543221735838,3.549715654174719,3.0189022856096948,3.717887126434527,3.74130658656955,3.717749700158015,4.430491551459293,3.681520497937125,3.843489024721518,3.53197645257012,3.413840273111373,4.0128402670775545,NV
3,2.8594771241830066,0.0,2.8273291925465838,3.672871572871573,3.456602326245183,3.9234913268557787,3.5383112141702653,2.8549140815242504,3.6550475518874874,3.333713330293358,3.376116762540932,3.6027417399708415,3.314445673374245,3.539145104682189,4.327440476190477,3.209767237902689,3.524974918250306,3.632348901098901,4.383333333333334,3.759259259259259,3.4187084832378956,3.392546637482429,3.235912754855688,3.5169975555845117,3.904960317460318,3.6390701312576312,3.064052795031056,3.4508026485299212,4.052631578947368,2.6157516725698544,3.1698165402710856,3.71875,4.017961937904056,3.9854166666666666,3.378787878787879,2.25,3.208333333333333,4.363095238095238,0.0,WI
4,3.470677484065641,0.0,2.7364125639385004,3.65587358297231,3.847101886456504,3.6372247793294967,3.3365008862027095,2.96801924401508,3.5497734609543814,3.9654457285719023,3.376585115581168,3.48335845224435,3.6880619476071645,3.6933841091107813,3.9494684682206733,3.613693811090658,3.887728511770707,3.494768534800718,3.7867009807673355,3.85907245970265,3.500855456036449,3.3229715491877063,3.4399960256803914,3.729170016868146,3.603541741427887,3.4465178433207195,3.266369479417803,3.5030542120773975,3.892076958045466,2.97891367965776,3.7012274025743195,4.0893532525483955,3.7511786129275158,3.7813387439824058,3.6992505960425817,3.624832034523019,3.4633480567237385,4.035219757199106,3.7721410533910533,AZ
5,3.8031024138465686,0.0,2.925417933130699,3.821071428571429,3.9456642913857833,3.5444936315455737,3.5147206544717906,2.9300017923236212,3.51450931499067,3.7060525893859224,3.2967474247538626,3.4931533462861,3.561771561771562,3.6228102057435287,4.062384395907123,3.5750465058184724,4.137712573374338,4.1300582338198435,3.7668386243386243,3.4661438561438564,3.587415847081231,3.528622028468421,3.1100897366522364,3.449751223213678,3.9858019579275616,3.7335266131430274,2.2481146304675717,3.645324258791809,3.9919388304003687,2.9266306792622583,3.5055982265084107,3.667854348112458,3.5145952141540375,4.278095238095238,3.7612911831399223,4.079004329004329,3.55017649017649,4.258246431930642,3.869047619047619,PA
6,3.4801259802288502,0.0,2.9666626846566637,3.883049645390071,3.882526285744331,3.355149742806237,3.4523865158856952,3.021157859212126,3.4392303084132565,4.0152428392779775,3.403905882030882,3.5043717297210253,3.7372706527482773,3.4041168800959962,3.760389667803461,3.5801543496991397,3.9327388167388166,3.5571374794977286,3.8116802478567187,3.6385845247189788,3.508604202324266,3.3752003078689348,3.3659179170587836,3.6994709619091557,3.533598976780795,3.6240868131048676,2.943177864753207,3.526226070459887,3.0244949494949496,2.848624896749406,3.599454923413733,3.7183500062604877,3.3489195989195992,3.758928571428571,3.757893032893033,3.6315274936663946,3.2577404077404077,4.0547735191637635,4.352941176470588,NC
7,2.874074074074074,0.0,2.44320987654321,4.294642857142858,3.5226107226107235,3.3992776057791536,3.2655590386624866,3.2022222222222214,2.8476190476190477,4.5,3.5499623900673627,3.45515873015873,3.628231292517007,3.1458333333333335,3.2370129870129873,3.4723349567099566,4.128472222222222,3.861111111111111,4.0,3.571428571428572,3.6272065618551834,3.3117477867477865,2.799107142857143,2.083333333333333,4.015,3.7676873052431925,3.0151515151515147,3.008931216931217,3.05,3.71875,3.495751027683801,3.083333333333333,4.05486111111111,0.0,3.5992063492063493,3.888888888888889,3.0,3.4285714285714284,0.0,IL
8,3.6220682403756803,0.0,2.8703303149062793,4.021678321678322,3.745209855503973,3.510771805811913,3.3502502487224706,3.0002998999401878,3.5532561837264365,3.8813484575292025,3.3189643116887706,3.543874994078374,3.4949033189033183,3.683062672532781,3.909693570318571,3.5014792988990666,4.120027366586833,4.066774184421243,4.104166666666667,4.293756613756614,3.412733716156207,3.4622321954815685,3.1078909325968147,3.33643535972182,3.7304450228134436,3.524665523601694,2.692708333333333,3.477338877860941,3.5635796264279236,2.984078608819093,3.676596792592961,4.169446240034476,3.825358898620177,4.577067669172933,3.772865298952255,3.885254803675856,3.2981904761904763,3.8390846436882247,3.90625,OH
9,3.6,0.0,2.8609467455621305,4.5,0.0,3.75,2.8966610925306577,2.2916666666666665,3.060808080808081,0.0,3.495497835497835,2.8421052631578942,3.532142857142857,2.6785714285714284,2.6666666666666665,3.665384615384615,0.0,0.0,0.0,0.0,3.0897959183673467,2.739316239316239,0.0,3.6269841269841265,4.0,3.8133333333333335,2.6666666666666665,3.1759259259259256,0.0,2.5285714285714285,3.7913419913419917,0.0,0.0,0.0,4.015151515151515,4.085714285714285,3.8571428571428568,3.0,5.0,SC
