,num_revs,state,category
0,1,QC,Diners
1,5,QC,Diners
2,1,QC,Diners
3,1,QC,Diners
4,1,QC,Diners
5,3,QC,Diners
6,3,QC,Diners
7,3,QC,Diners
8,3,QC,Diners
9,4,QC,Diners
10,1,QC,Diners
11,2,QC,Diners
12,3,QC,Diners
13,1,QC,Diners
14,3,QC,Diners
15,1,QC,Diners
16,3,QC,Diners
17,1,QC,Diners
18,1,QC,Diners
19,1,QC,Diners
20,3,QC,Diners
21,2,QC,Diners
22,1,QC,Diners
23,4,QC,Diners
24,1,QC,Diners
25,3,QC,Diners
26,1,QC,Diners
27,2,QC,Diners
28,3,QC,Diners
29,2,QC,Diners
30,2,QC,Diners
31,4,QC,Diners
32,1,QC,Diners
33,2,QC,Diners
34,2,QC,Diners
35,2,QC,Diners
36,1,QC,Diners
37,1,QC,Diners
38,3,QC,Diners
39,2,QC,Diners
40,2,QC,Diners
41,2,QC,Diners
42,1,QC,Diners
43,1,QC,Diners
44,2,QC,Diners
45,1,QC,Diners
46,1,QC,Diners
47,1,QC,Diners
48,3,QC,Diners
49,2,QC,Diners
50,3,QC,Diners
51,2,QC,Diners
52,4,QC,Diners
53,3,QC,Diners
54,2,QC,Diners
55,2,QC,Diners
56,1,QC,Diners
57,3,QC,Diners
58,2,QC,Diners
59,1,QC,Diners
60,3,QC,Diners
61,1,QC,Diners
62,2,QC,Diners
63,3,QC,Diners
64,3,QC,Diners
65,3,QC,Diners
66,3,QC,Diners
67,4,QC,Diners
68,2,QC,Diners
69,1,QC,Diners
70,2,QC,Diners
71,1,QC,Diners
72,5,QC,Diners
73,2,QC,Diners
74,1,QC,Diners
75,1,QC,Diners
76,1,QC,Diners
77,2,QC,Diners
78,2,QC,Diners
79,2,QC,Diners
80,2,QC,Diners
81,1,QC,Diners
82,2,QC,Diners
83,1,QC,Diners
84,2,QC,Diners
85,1,QC,Diners
86,3,QC,Diners
87,1,QC,Diners
88,3,QC,Diners
89,1,QC,Diners
90,3,QC,Diners
91,1,QC,Diners
92,3,QC,Diners
93,1,QC,Diners
94,3,QC,Diners
95,2,QC,Diners
96,2,QC,Diners
97,1,QC,Diners
98,1,QC,Diners
99,1,QC,Diners
100,2,QC,Diners
101,1,QC,Diners
102,2,QC,Diners
103,1,QC,Diners
104,1,QC,Diners
105,2,QC,Diners
106,1,QC,Diners
107,1,QC,Diners
108,1,QC,Diners
109,3,QC,Diners
110,2,QC,Diners
111,1,QC,Diners
112,1,QC,Diners
113,4,QC,Diners
114,1,QC,Diners
115,1,QC,Diners
116,1,QC,Diners
117,1,QC,Diners
118,1,QC,Diners
119,2,QC,Diners
120,2,QC,Diners
121,2,QC,Diners
122,2,QC,Diners
123,1,QC,Diners
124,2,QC,Diners
125,1,QC,Diners
126,2,QC,Diners
127,1,QC,Diners
128,3,QC,Diners
129,2,QC,Diners
130,1,QC,Diners
131,1,QC,Diners
132,1,QC,Diners
133,2,QC,Diners
134,1,QC,Diners
135,1,QC,Diners
136,3,QC,Diners
137,1,QC,Diners
138,1,QC,Diners
139,1,QC,Diners
140,1,QC,Diners
141,1,QC,Diners
142,1,QC,Diners
143,1,QC,Diners
144,1,QC,Diners
145,1,QC,Diners
146,1,QC,Diners
147,1,QC,Diners
148,1,QC,Diners
149,2,QC,Diners
150,1,QC,Diners
151,1,QC,Diners
152,1,QC,Diners
153,1,QC,Diners
154,2,QC,Diners
155,2,QC,Diners
156,1,QC,Diners
157,2,QC,Diners
158,1,QC,Diners
159,1,QC,Diners
160,1,QC,Diners
161,2,QC,Diners
162,1,QC,Diners
163,3,QC,Diners
164,1,QC,Diners
165,2,QC,Diners
166,1,QC,Diners
167,1,QC,Diners
168,1,QC,Diners
169,1,QC,Diners
170,1,QC,Diners
171,1,QC,Diners
172,1,QC,Diners
173,1,QC,Diners
174,1,QC,Diners
175,1,QC,Diners
176,1,QC,Diners
177,1,QC,Diners
178,1,QC,Diners
179,1,QC,Diners
180,1,QC,Diners
181,3,QC,Canadian (New)
182,4,QC,Canadian (New)
183,1,QC,Canadian (New)
184,3,QC,Canadian (New)
185,2,QC,Canadian (New)
186,2,QC,Canadian (New)
187,6,QC,Canadian (New)
188,6,QC,Canadian (New)
189,7,QC,Canadian (New)
190,1,QC,Canadian (New)
191,3,QC,Canadian (New)
192,7,QC,Canadian (New)
193,2,QC,Canadian (New)
194,2,QC,Canadian (New)
195,3,QC,Canadian (New)
196,3,QC,Canadian (New)
197,6,QC,Canadian (New)
198,2,QC,Canadian (New)
199,8,QC,Canadian (New)
200,8,QC,Canadian (New)
201,5,QC,Canadian (New)
202,1,QC,Canadian (New)
203,3,QC,Canadian (New)
204,4,QC,Canadian (New)
205,2,QC,Canadian (New)
206,1,QC,Canadian (New)
207,4,QC,Canadian (New)
208,5,QC,Canadian (New)
209,1,QC,Canadian (New)
210,5,QC,Canadian (New)
211,6,QC,Canadian (New)
212,3,QC,Canadian (New)
213,2,QC,Canadian (New)
214,5,QC,Canadian (New)
215,3,QC,Canadian (New)
216,1,QC,Canadian (New)
217,4,QC,Canadian (New)
218,9,QC,Canadian (New)
219,4,QC,Canadian (New)
220,7,QC,Canadian (New)
221,1,QC,Canadian (New)
222,6,QC,Canadian (New)
223,4,QC,Canadian (New)
224,1,QC,Canadian (New)
225,1,QC,Canadian (New)
226,6,QC,Canadian (New)
227,2,QC,Canadian (New)
228,4,QC,Canadian (New)
229,5,QC,Canadian (New)
230,3,QC,Canadian (New)
231,7,QC,Canadian (New)
232,5,QC,Canadian (New)
233,8,QC,Canadian (New)
234,8,QC,Canadian (New)
235,1,QC,Canadian (New)
236,6,QC,Canadian (New)
237,5,QC,Canadian (New)
238,4,QC,Canadian (New)
239,3,QC,Canadian (New)
240,4,QC,Canadian (New)
241,1,QC,Canadian (New)
242,1,QC,Canadian (New)
243,5,QC,Canadian (New)
244,4,QC,Canadian (New)
245,5,QC,Canadian (New)
246,4,QC,Canadian (New)
247,6,QC,Canadian (New)
248,3,QC,Canadian (New)
249,4,QC,Canadian (New)
250,2,QC,Canadian (New)
251,2,QC,Canadian (New)
252,2,QC,Canadian (New)
